phi,psi,end_state,energy,caspt2_energy,caspt2_root,ms_caspt2_energy,ms_caspt2_root,ms_caspt2_highest_occupation,ms_caspt2_occupation_weight,ms_caspt2_occupation_coeff,config,coeff,weight,dipole moment,start_state,caspt2_energy_difference_ev,ms_caspt2_energy_difference_ev,dx_debyes,dy_debyes,dz_debyes,totald_debyes,transition,energy_difference_eV
225,90,4,-453.648338,-455.1372263717,4,-455.13876506,4.0,22222ud0,0.665419,0.815732,22222ud0,-0.76602,0.58678,3.7423,1,6.585210357438698,6.645475861353096,-3.8083524714326384,1.5881646334024644,-1.605970820117116,4.42774859196454,pi_nb_to_pi_*_R,8.451643148799606
225,90,6,-453.621021,-455.1115161161,6,-455.13836282,5.0,222u220d,0.594939,0.771323,222u220d,0.60051,0.36061,7.0871,1,7.28482240667302,6.65642137488986,-1.2826453605994064,1.1876797202228455,-0.1810393820401773,1.7574235390996706,pi_nb_to_pi_*_L,9.194976962600672
225,105,1,-453.958696,-455.3797758928,1,-455.38351889,1.0,22222200,0.941702,0.970413,22222200,0.96116,0.92383,1.5868,1,0.0,0.0,,,,,GROUND,0.0
225,105,2,-453.74715,-455.1662115295,2,-455.16641703,3.0,222u22d0,0.901396,0.949419,222u22d0,0.95249,0.90723,2.6047,1,5.811385315501854,5.907645553204377,0.0733113542556219,-0.0032348754879834,0.1481112144687081,0.165293529644992,n_to_pi_*_L,5.756462824399958
225,105,3,-453.737075,-455.1744572664,3,-455.1746589,2.0,22u2220d,0.80485,0.897134,22u2220d,0.90973,0.8276,3.159,1,5.587007270421359,5.683372731886209,-0.2868622641413525,-0.1561004607884998,-0.1308338192834777,0.3518164292830711,n_to_pi_*_R,6.030617679399199
225,105,4,-453.646708,-455.1362107573,4,-455.1381975,4.0,2222u20d,0.444189,-0.666475,2222u20d,-0.77646,0.6029,3.0396,1,6.627748328145641,6.67553847184641,-3.227307144890408,1.777678838294498,-1.4361183613923794,3.95450240941808,pi_nb_to_pi_*_R,8.489630263199599
225,105,6,-453.619992,-455.1191521884,6,,,,,,22222ud0,0.69379,0.48135,3.9039,1,7.091935869910654,,-2.2786779970314344,1.5909327040380628,-0.4968846071733561,2.823178093611484,pi_nb_to_pi_*_L,9.216610025598644
225,120,1,-453.958808,-455.3804000561,1,-455.38353167,1.0,22222200,0.942041,0.970588,22222200,0.96155,0.92459,1.8532,1,0.0,0.0,,,,,GROUND,0.0
225,120,2,-453.746733,-455.1662361231,2,-455.16630078,3.0,222u220d,0.902939,-0.950231,222u220d,-0.95465,0.91136,2.7816,1,5.827700446434896,5.911156640147443,-0.0410168707555609,0.0153581932414297,-0.1558835366597535,0.1619195317900858,n_to_pi_*_L,5.770857654999191
225,120,3,-453.73464,-455.1723928992,3,-455.17259485,2.0,22u222d0,0.80937,-0.89965,22u222d0,-0.91222,0.83215,3.2352,1,5.660165949267378,5.73988618374879,0.274457606441381,0.127521985939978,0.172030094597617,0.348113756048961,n_to_pi_*_R,6.099925115199001
225,120,4,-453.64449,-455.1346833303,4,-455.13632474,4.0,2222u2d0,0.677879,-0.823334,2222u2d0,-0.7976,0.63617,3.0819,1,6.686296112433574,6.726846655002119,2.4879854596193733,-1.8624486041641253,1.1343150771623765,3.308391916758164,pi_nb_to_pi_*_R,8.553032825198843
225,120,6,-453.619416,-455.1235337287,6,-455.13506681,5.0,22222u0d,0.636926,0.798076,22222u0d,0.76198,0.58061,0.53887,1,6.989692381411322,6.761076691404348,-2.9762642074336143,1.998989297405555,-0.5586181478996382,3.6285205207189626,pi_nb_to_pi_*_L,9.235331468799327
225,135,1,-453.962148,-455.3336908722,1,-455.33425634,1.0,22222200,0.957795,0.97867,22222200,0.97489,0.95041,2.5273,1,0.0,0.0,,,,,GROUND,0.0
225,150,1,-453.960014,-455.38226337,1,-455.38501617,1.0,22222200,0.942937,0.97105,22222200,0.9629,0.92718,2.7451,1,0.0,0.0,,,,,GROUND,0.0
225,150,2,-453.74804,-455.168035518,2,-455.16834797,2.0,222u220d,0.481717,-0.694058,222u220d,0.96086,0.92325,3.1786,1,5.829439771911847,5.895845057478864,-0.0212878237464926,-0.0287856723496401,0.1626100267882558,0.1665046759993493,n_to_pi_*_L,5.7681093035999425
225,150,3,-453.731662,-455.1678662902,3,-455.16771408,3.0,22u222d0,0.449272,-0.670278,22u222d0,-0.93214,0.86889,3.681,1,5.83404469726956,5.913094091825336,0.1233286011650604,0.0623432965820828,0.2450354692773779,0.281316569069985,n_to_pi_*_R,6.213777612800801
225,150,4,-453.645832,-455.1258913007,4,-455.13267357,5.0,2222u2d0,0.756257,0.86963,2222u2d0,-0.64927,0.42155,2.4934,1,6.9762429265492285,6.866595425638996,-1.8663268624700096,-1.929936323248343,0.5998995948721078,2.75094704363385,pi_nb_to_pi_*_R,8.549332074800452
225,150,5,-453.63926,-455.1235890222,5,-455.13267357,5.0,2222u2d0,0.756257,0.86963,2222u2d0,0.59982,0.35978,1.7978,1,7.038891147724038,6.866595425638996,-0.1212771722886422,2.680410948111098,-0.992101879244439,2.8606952238623893,pi_nb_to_pi_*_R,8.728165395600604
225,150,6,-453.622715,-455.1274878248,6,-455.13652431,4.0,22222u0d,0.772177,-0.878736,22222u0d,-0.79663,0.63461,3.1703,1,6.93279927065386,6.761811399202493,3.2703926233174743,-2.580804791387093,0.3800618010654304,4.1833561058924,pi_nb_to_pi_*_L,9.17837800859927
225,165,1,-453.960488,-455.3828550278,1,-455.3861637,1.0,22222200,0.943733,0.971459,22222200,0.96341,0.92816,3.1131,1,0.0,0.0,,,,,GROUND,0.0
