Phi,Psi,end_state,Energy,CASPT2_Energy,MS_CASPT2_Energy,MS_CASPT2_Highest_Occupation,MS_CASPT2_Occupation_Weight,MS_CASPT2_Occupation_Coeff,Config,Coeff,Weight,Dipole Moment,start_state,CASPT2_Energy_Difference_eV,MS_CASPT2_Energy_Difference_eV,Dx_Debyes,Dy_Debyes,Dz_Debyes,TotalD_Debyes
15,0,5,-453.632043,-455.1115417663,-455.09954977,22222u0d,0.844887,-0.919178,22222u0d,-0.67716,0.45855,4.4559,1,7.036997715927362,7.432485060609031,1.7144099391037373,-0.22546193068602335,0.6655674408320118,1.852839588162336
15,0,5,-453.632043,-455.1115417663,-455.13117591,222u220d,0.528318,-0.726855,222u220d,-0.60686,0.36828,4.4559,1,7.036997715927362,6.57189351461264,1.7144099391037373,-0.22546193068602335,0.6655674408320118,1.852839588162336
15,0,6,-453.611923,-455.0930475722,-455.0829863,2222u20d,0.794435,-0.891311,2222u20d,-0.75186,0.56529,7.4962,1,7.540250629258956,7.883200268166872,2.868289923142613,-0.09351016454190558,0.24664368086901714,2.880393080801919
15,0,7,-453.60411,-455.1156677636,-455.12044807,22222ud0,0.520994,0.721799,22222ud0,0.79707,0.63532,2.9632,1,6.924723552997149,6.863813059989061,4.371493432556627,1.6175891611768534,0.2413486671953154,4.667418847342524
15,270,1,-453.951883,-455.3715485344,-455.37397286,22222200,0.910542,0.954223,22222200,0.95,0.9025,4.6783,1,0.0,0.0,,,,
15,270,2,-453.749399,-455.1699956148,-455.17064745,222u22d0,0.807257,0.898475,222u22d0,0.92558,0.8567,3.4074,1,5.484537116404337,5.532769061673751,0.31437369871091053,-0.03945911791915742,0.09747668964255216,0.3314959258468546
15,270,3,-453.737092,-455.1636123848,-455.16397424,22u2220d,0.830186,0.911146,22u2220d,0.91117,0.83023,3.2593,1,5.658233741225877,5.7143564482670435,-0.021730812543206867,0.004290981278719857,-0.20010823522833557,0.20133044126916352
15,270,4,-453.635245,-455.1213933545,-455.12135599,2222u20d,0.760689,0.872175,2222u20d,0.79956,0.63929,5.5296,1,6.807072662330622,6.874058696317921,1.3773064535805786,-0.8500716674799723,3.3533769214346716,3.7235375238908546
15,270,5,-453.628663,-455.1297287032,-455.13015567,22222ud0,0.723826,0.85078,22222ud0,0.81017,0.65638,5.2899,1,6.580256154716186,6.63460708396488,3.443549367654833,-0.8310886884429263,-0.4272668964255215,3.568094399373755
15,270,6,-453.605619,-455.0721143895,-455.06996135,22222u0d,0.710587,-0.842963,22222u0d,-0.74073,0.54869,8.4499,1,8.14802229053276,8.272578803212708,1.3453238201984465,-1.0801235487576757,0.8018107132690823,1.9024887585905415
